after_super_class,bad_match_reason,candidates_after_super_class_guards,candidates_total,is_bad_match,match_percent,price,reason_code,ref_super_class,reference_name,rejected_by_anchor,rejected_by_forbidden,selected_name,selected_super_class,status
,,112,,False,54,39.05,,pasta,ПАСТА Том Кха Тайланд 400 гр. Aroy-D,0,0,СПАГЕТТИ №003 400 гр. Америа,pasta,ok
,,107,,False,100,93.05,,condiments.spice,ПЕРЕЦ черный горошек банка 600 гр. KOTANYI,0,0,"Соль нитритная ""SpicExpert"" пакет (1,000 кг/1,010 кг) упак..",condiments.spice,ok
0,,,8218,,,,INSUFFICIENT_CLASSIFICATION,,ПОРОШОК куриный 1 кг. PRB,,,,,not_found
,,86,,False,100,213.5,,condiments.seasoning,ПРИПРАВА для курицы банка 500 гр. SpicеExpert,0,0,ПРИПРАВА хмели-сунели банка 400 гр. SpicеExpert,condiments.seasoning,ok
,,86,,False,100,213.5,,condiments.seasoning,ПРИПРАВА креольская Каджун п/б 290 гр. KOTANYI,0,0,ПРИПРАВА хмели-сунели банка 400 гр. SpicеExpert,condiments.seasoning,ok
,,86,,False,100,213.5,,condiments.seasoning,"ПРИПРАВА соль для размягчения мяса п/б 1,65 кг. KOTANYI",0,0,ПРИПРАВА хмели-сунели банка 400 гр. SpicеExpert,condiments.seasoning,ok
,,152,,False,54,0.65,,staples.сахар,САХАР ванильный 1 кг. SpicеExpert,0,0,САХАР порционный в стиках 5гр 1000шт/кр CEA,staples.сахар,ok
,,57,,False,65,15.9536,,staples.соль,СОЛЬ порционная в стиках 1гр 3000шт/кр CEA,0,0,"Соль пищевая помол №1 ""СЛАВЯНОЧКА""  п/э 1кг",staples.соль,ok
,,61,,False,30,23.23,,bakery.bread,СУХАРИ панировочные Панко 1 кг. HANSEY,0,0,Дрожжи свежие хлебопекарные прессованные Люкс экстра 100 гр (20) Саф-Нева,bakery.bread,ok
,,41,,False,100,30.0,,condiments.vinegar,УКСУС рисовый 20 л. PADAM,0,0,Уксус столовый 9% 1л,condiments.vinegar,ok
0,,,8218,,,,INSUFFICIENT_CLASSIFICATION,,ШАРИКИ Рисовые Crispy Arare Кимчи Россия 1 кг.,,,,,not_found
,,153,,False,47,0.65,,staples.сахар,САХАР тростниковый кристаллический Gold в плёнке 900 гр. Цукерман,0,0,САХАР порционный в стиках 5гр 1000шт/кр CEA,staples.сахар,ok
,,107,,False,42,93.05,,condiments.spice,ОРЕХ грецкий бабочка 1 кг. Суприм,0,0,"Соль нитритная ""SpicExpert"" пакет (1,000 кг/1,010 кг) упак..",condiments.spice,ok
,,3,,False,100,449.0,,oils.sesame,СЕМЯ кунжутное белое жареное 1кг. Суприм,0,0,"Кунжутное семя белое жареное, Россия",other,ok
0,,,8218,,,,INSUFFICIENT_CLASSIFICATION,,ЛАПША Рамен яичная в брикетах 1 кг. KEKESHI,,,,,not_found
,,48,,False,33,13.5,,staples.мука.пшеничная,ЛАПША Удон 300 гр. KANESHIRO DARUMA,0,0,"ТОРТИЛЬЯ пшеничная замороженная 12 дюйм 18 шт/1620 г, MISSION, ВЕЛИКОБРИТАНИЯ",staples.мука.пшеничная,ok
,,134,,False,54,34.06,,staples.макароны,ПЕРЬЯ рифленые №023 3 кг. Federici,0,0,Макароны Дон Макарон Гурман Перья (рифленые) 400 гр (30) группа А,staples.макароны,ok
,,153,,False,100,0.65,,staples.сахар,АДРЕНАЛИН раш 0.33 л. ж/б,0,0,САХАР порционный в стиках 5гр 1000шт/кр CEA,staples.сахар,ok
,,113,,False,81,23.5,,beverages.water,"ВОДА минеральная природная столовая питьевая газированная стекло 0,375 л. «Petroglyph Epos» (Петрогл",0,0,"Вода Питьевая Негазированная 0,6л пэт Сладкая Жизнь, НДС 20%, ЧЗ",beverages.water,ok
,,16,,False,60,45.01,,beverages.нектар,ДЖ7 НЕКТАР Вишня осветленный 0.2 л. БЗ,0,0,НЕКТАР вишневый осветленный 200 мл. IL Primo,beverages.нектар,ok
,,79,,False,100,88.78,,canned.томаты.консервированные,ДЖ7 СОК Томат с солью 0.97 л. Тетра Призма,0,0,"Мелконарезанные томаты ""Мутти"" ж/б (0,210 кг) упак. .",canned.томаты.консервированные,ok
,,16,,False,62,45.01,,beverages.нектар,НЕКТАР вишневый осветленный 1 л. IL PRIMO,0,0,НЕКТАР вишневый осветленный 200 мл. IL Primo,beverages.нектар,ok
,,65,,False,40,50.41,,beverages.juice,СОК апельсиновый восстановленный 200 мл. IL Primo,0,0,СОК мультифруктовый с мякотью восстановленный 200 мл. IL Primo,beverages.juice,ok
,,64,,False,41,50.41,,beverages.juice,СОК яблочный осветленный восстановленный 1 л. IL Primo,0,0,СОК мультифруктовый с мякотью восстановленный 200 мл. IL Primo,beverages.juice,ok
,,113,,False,84,23.5,,beverages.water,"НАПИТОК безалкогольный на ароматизаторах негазированный «Dark Rum (Тёмный Ром)» 0,7 л.",0,0,"Вода Питьевая Негазированная 0,6л пэт Сладкая Жизнь, НДС 20%, ЧЗ",beverages.water,ok
,,113,,False,90,23.5,,beverages.water,"НАПИТОК безалкогольный на ароматизаторах негазированный Tiger Gin (Тигровый Джин) 0,7 л.",0,0,"Вода Питьевая Негазированная 0,6л пэт Сладкая Жизнь, НДС 20%, ЧЗ",beverages.water,ok
,,113,,False,88,23.5,,beverages.water,"НАПИТОК безалкогольный среднегазированный ""Лапочка Арбуз Мелисса"" 330 мл.",0,0,"Вода Питьевая Негазированная 0,6л пэт Сладкая Жизнь, НДС 20%, ЧЗ",beverages.water,ok
0,,,8218,,,,NO_CANDIDATES_AFTER_GUARDS,additives.coconut,НАПИТОК кокосовая вода с мякотью ж/б 330 мл. Vinut,0,0,,,not_found
,,114,,False,45,23.5,,beverages.water,НАПИТОК сокосодержащий с соком манго ж/б 330 мл. Vinut,0,0,"Вода Питьевая Негазированная 0,6л пэт Сладкая Жизнь, НДС 20%, ЧЗ",beverages.water,ok
,,8,,False,78,55.83,,beverages.лимонад,"ЛИМОНАД Bench Абрикос и Лемонграсс 0,33 л.",0,0,"Лимонад Кола 1,5 л пл/б (6) Мастер",beverages.лимонад,ok
,,32,,False,48,72.5,,fruits.лимон,ФРУСТАЙЛ Лимон Лайм 0.33 л. ж/б,0,0,ФРУСТАЙЛ Лимон Лайм 0.5 л. ПЭТ,fruits.лимон,ok
0,,,8218,,,,INSUFFICIENT_CLASSIFICATION,,ЭВЕРВЕСС Кола без сахара 0.5 л. ПЭТ,,,,,not_found
,,113,,False,78,23.5,,beverages.water,"НАПИТОК Миндальный ультрапастеризованный 1,2% BARISTA 1 л. Vega Natura",0,0,"Вода Питьевая Негазированная 0,6л пэт Сладкая Жизнь, НДС 20%, ЧЗ",beverages.water,ok
0,,,8218,,,,INSUFFICIENT_CLASSIFICATION,,ОСНОВА для безалкогольных напитков Базилик - Лимон 1 кг. Barinoff,,,,,not_found
0,,,8218,,,,INSUFFICIENT_CLASSIFICATION,,СИРОП ароматизированный со вкусом Блю кюрасао 1 л. AGROBAR,,,,,not_found
0,,,8218,,,,INSUFFICIENT_CLASSIFICATION,,СИРОП ароматизированный со вкусом Клубника 1 л. AGROBAR,,,,,not_found
0,,,8218,,,,INSUFFICIENT_CLASSIFICATION,,СИРОП Ваниль 1 л. Barinoff,,,,,not_found
,,107,,False,100,93.05,,condiments.spice,СИРОП Корица 1 л. Barinoff,0,0,"Соль нитритная ""SpicExpert"" пакет (1,000 кг/1,010 кг) упак..",condiments.spice,ok
0,,,8218,,,,INSUFFICIENT_CLASSIFICATION,,СИРОП Персик 1 л. Barinoff,,,,,not_found
,,37,,False,33,60.63,,condiments.topping,ТОППИНГ Банан 1 кг. Barinoff,0,0,"Топпинг маракуйя (1,000 кг) Barinoff",condiments.topping,ok
0,,,8218,,,,INSUFFICIENT_CLASSIFICATION,,ТОППИНГ Манго 1 кг. Barinoff,,,,,not_found
,,160,,False,49,283.32,,seafood.shrimp,ПЕРСИКИ очищенные половинки в сиропе ж/б 850 мл. LUTIK,0,0,Креветка Ванамей Торпедо 21/25 очищенная в панировке (необжар.) с/м 200 гр (10) Vici Вьетнам,seafood.shrimp,ok
0,,,8218,,,,INSUFFICIENT_CLASSIFICATION,,ИМБИРЬ маринованный белый 1 кг. RISMA,,,,,not_found
,,95,,False,37,0.33,,canned.перец.консервированный,ИМБИРЬ маринованный розовый 1 кг. VICIUNAI,0,0,"ПЕРЕЦ черный молотый порционный в стиках 0,3гр 3000шт/кр CEA",canned.перец.консервированный,ok
,,34,,False,61,78.24,,canned.кукуруза.консервированная,КУКУРУЗА ж/б 425 мл. SUNFEEL,0,0,Кукуруза консервированная 425 мл (250 гр) ж/б ключ (24) Maysun,canned.кукуруза.консервированная,ok
0,,,8218,,,,NO_CANDIDATES_AFTER_GUARDS,canned.огурцы,"ОГУРЦЫ маринованные ж/б 100/110 10,2 л. Mamminger",0,0,,,not_found
,,54,,False,44,0.77,,disposables.containers,РЕДЬКА маринованная Takuan 600 гр. HANSEY,0,0,"РАЗМЕШИВАТЕЛЬ деревянный в индивидуальной бумажной упаковке 178*6*1,3 мм 1 блок/250 шт.",disposables.containers,ok
,,60,,False,100,103.0,,canned.тунец.консервированный,ТУНЕЦ кусочки в собственном соку ж/б 170 гр. SUNFEEL,0,0,Тунец для салата консер.Санфил 170гр  б/ключа,canned.тунец.консервированный,ok
,,59,,False,100,103.0,,canned.тунец.консервированный,ТУНЕЦ филе Yellowfin Саку AAA (500-800 гр) с/м вес 650 гр.,0,0,Тунец для салата консер.Санфил 170гр  б/ключа,canned.тунец.консервированный,ok
0,,,8218,,,,INSUFFICIENT_CLASSIFICATION,,УГОРЬ филе 16-20 yнц (440-560 гр) без в/у с/м вес 5 кг. JIANGXI XILONG FOODSTUFF,,,,,not_found
,,26,,False,100,180.88,,seafood.trout,"ФОРЕЛЬ филе на коже охлажденный Трим С вес 1,1 кг (размер 3/4) Осетия",0,0,Суповой набор рыбный с/м (форель) ~1 кг ~9 кг/кор. ВРК,seafood.trout,ok
0,,,8218,,,,INSUFFICIENT_CLASSIFICATION,,ОКУНЬ филе на коже СТО (90-150 гр) с/м вес 10 кг. Купеческий,,,,,not_found
0,,,8218,,,,INSUFFICIENT_CLASSIFICATION,,СУДАК филе на коже ГОСТ (300 гр) с/м вес 10 кг. Альфа М,,,,,not_found
