id,name_raw,super_class,product_core_id,core_conf,brand_id,pack_base_qty,unit_type,issue_codes
757831c3-292d-42b3-8858-fca3f5e2a0b9,Паста шоколадная 3 кг пл/в (2) Nutella,beverages.cola,beverages.cola,0.9,,3000.0,WEIGHT,NO_BRAND
c34fad44-ff3a-4b8a-90a6-0827d5df2a2c,"Пралине фундучное (фундук 70%, карамель 30%) 1 кг (6) VALDE",nuts.hazelnuts,nuts.hazelnuts,0.9,,1000.0,WEIGHT,NO_BRAND
6987077c-594d-476c-b1e3-f68896072b3f,Сахар инвертный (тримолин) 1 кг (6 шт) Cremesuc,staples.сахар,staples.сахар,0.5,,1000.0,WEIGHT,NO_BRAND
07e828b6-1436-404b-ad8c-4e551558b439,Сироп глюкозы ведро 1 л Belgogluc Бельгия,beverages.syrup,beverages.syrup,0.9,belgogluc_бельгия,1000.0,VOLUME,
3951ed2c-9373-4a21-ac2e-ef30a260428a,Сироп из топинамбура 345 гр ст/б (8) Бионик,beverages.syrup,beverages.syrup,0.9,,345.0,WEIGHT,NO_BRAND
62bb6823-63ad-48c5-b51a-3fe98cb7d8af,Батончик-мюсли орехи/мед 50 гр (24) EVERYDAY GIGANT,staples.buckwheat,staples.buckwheat,0.5,,50.0,WEIGHT,NO_BRAND
9aa848dc-a383-4c18-9d1c-0cb8550082f7,"Зефир Бело-розовый 3,5 кг КФ Нева",canned.перец.консервированный,canned.перец.консервированный,0.5,кф_нева,3500.0,WEIGHT,
941f5204-1b93-4546-8261-f581452f6c2e,Зефир маршмеллоу классик белые 200 гр (20) ГВАНДИ,confectionery.marshmallow,confectionery.marshmallow,0.5,,200.0,WEIGHT,NO_BRAND
5db52201-1326-4a31-8fe5-1c2148ac7624,Зефир маршмеллоу мини белые 200 гр (20) ГВАНДИ,confectionery.marshmallow,confectionery.marshmallow,0.5,,200.0,WEIGHT,NO_BRAND
f4f8dd8c-b757-473c-959a-7c36440d7eac,Зефир маршмеллоу мини цветные 200 гр (20) ГВАНДИ,confectionery.marshmallow,confectionery.marshmallow,0.5,,200.0,WEIGHT,NO_BRAND
b7473e75-5cec-4410-a91e-ad38e36658d4,"Зефир сливочный в шоколаде 3,5 кг КФ Нева",beverages.cola,beverages.cola,0.9,кф_нева,3500.0,WEIGHT,
18332e20-3bcf-4287-a52a-29af60b6ddd4,Печенье песочное 95 гр (28) Орео,staples.сахар,staples.сахар,0.5,,95.0,WEIGHT,NO_BRAND
144b5f81-98ff-4d32-b8ad-2851f2e20742,Печенье Савоярди 400 гр п/э (10) Elledi Gastone Lago,staples.сахар,staples.сахар,0.5,,400.0,WEIGHT,NO_BRAND
885695e5-1b2d-48a8-9042-46c48f0b7ee4,Печенье Савоярди сахарное 400 гр п/э (15) I dolci di montagna,staples.сахар,staples.сахар,0.5,,400.0,WEIGHT,NO_BRAND
db5f48af-448d-4517-8acb-2f21110df8f1,Печенье Традиционное молочное 112 гр Юбилейное,staples.сахар,staples.сахар,0.5,юбилейное,112.0,WEIGHT,
adea5577-7f37-4494-a8cd-67d3f7421794,Сахарная вата (банан/клубника/ежевика) 150 гр (4) Муми-сласти,staples.сахар,staples.сахар,0.5,,150.0,WEIGHT,NO_BRAND
34c85448-64a7-40d0-ad7f-e3aa8ce2460b,Халва подсолнечная 250 гр (18) Азовская ФК,oils.sunflower,oils.sunflower,0.5,,250.0,WEIGHT,NO_BRAND
3c77ae70-53f4-485f-a014-f87cdc410427,Шоколад темный 85 гр (15) Особый,beverages.cola,beverages.cola,0.9,,85.0,WEIGHT,NO_BRAND
ccba6239-98de-49ff-86f5-0b0277afe558,Шоколад экстрамолочный с начинкой капучино 82 гр (12) Особый КФ им.Крупской,beverages.cola,beverages.cola,0.9,,82.0,WEIGHT,NO_BRAND
