item_id,name_raw,pack_base_qty,unit_type,potential_packs_needed_for_1kg,issue
6e308ec8-4419-4073-9b8f-e044dbe4eb5b,"Шоколад гречишный белый с бананом и клубникой ""для детей""( 0,020 кг) упак.Stars Coffee",20.0,WEIGHT,50,SMALL_PACK_HIGH_COUNT_50x
f1e4f88b-1a64-4432-974f-acb4367d5a3d,"Шоколад белый ""Сливочная карамель"" ( 0,020 кг) упак.Stars Coffee",20.0,WEIGHT,50,SMALL_PACK_HIGH_COUNT_50x
2cd10c2d-8c5e-4796-95e3-b2ac1cdb8a9d,"Шоколад Киндер Кантри с молочно-злаковой начинкой (23,5г х 40) упак .Старс Коффе",23.5,WEIGHT,42,SMALL_PACK_HIGH_COUNT_42x
d8156d59-6211-4539-a015-918ee6393094,КЕТЧУП томатный дип-пот 25 мл *125 шт. Heinz,25.0,VOLUME,40,SMALL_VOLUME_HIGH_COUNT_40x
a6024d12-b166-40d3-984c-424d682e48c5,СОУС барбекю дип-пот 25 мл *125 шт. Heinz,25.0,VOLUME,40,SMALL_VOLUME_HIGH_COUNT_40x
3ecdfa1b-6fa9-4031-b185-e72296a0673e,СОУС горчичный дип-пот 25 мл *125 шт. Heinz,25.0,VOLUME,40,SMALL_VOLUME_HIGH_COUNT_40x
7f9d55d9-d5d9-43b3-b997-f910d0f9692f,СОУС деликатесный Барбекью острый дип-пот 25 мл*125 шт. PIKADOR,25.0,VOLUME,40,SMALL_VOLUME_HIGH_COUNT_40x
04e3235f-ccd1-4528-9cb0-9f505a5819f2,СОУС деликатесный кисло-сладкий Чили дип-пот 25 мл*125 шт. PIKADOR,25.0,VOLUME,40,SMALL_VOLUME_HIGH_COUNT_40x
b82be619-ee53-4df0-a912-e2c3c0b7ee58,СОУС деликатесный терияки дип-пот 25 мл *125 шт. Heinz,25.0,VOLUME,40,SMALL_VOLUME_HIGH_COUNT_40x
1ac8056e-600d-4b53-b2e0-986643b507a1,СОУС кисло-сладкий дип-пот 25 мл*125 шт. Heinz,25.0,VOLUME,40,SMALL_VOLUME_HIGH_COUNT_40x
94453284-6c40-4ab2-9e03-dc051e641116,СОУС на основе растительных масел горчично-медовый дип-пот 25 мл*125 шт. PIKADOR,25.0,VOLUME,40,SMALL_VOLUME_HIGH_COUNT_40x
c47a545d-1048-484f-b52b-fa50f1f9259f,СОУС на основе растительных масел сырный с Халапеньо дип-пот 25 мл*125 шт. PIKADOR,25.0,VOLUME,40,SMALL_VOLUME_HIGH_COUNT_40x
5198b273-1a54-4fe0-a5ab-f09ba105efa0,СОУС на основе растительных масел Тысяча островов дип-пот 25 мл*125 шт. Heinz,25.0,VOLUME,40,SMALL_VOLUME_HIGH_COUNT_40x
c5d0aac4-e521-4c35-b273-25916e7e87dd,СОУС сырный дип-пот 25 мл*125 шт. Heinz,25.0,VOLUME,40,SMALL_VOLUME_HIGH_COUNT_40x
c7ee19c7-4de6-474a-bb74-663a33acd0d2,СОУС чесночный дип-пот 25 мл*125 шт. Heinz,25.0,VOLUME,40,SMALL_VOLUME_HIGH_COUNT_40x
3c6e9d23-ad6b-4685-87c0-eff1cb40e138,ГРИБЫ древесные сушеные Муэр Китай 25 гр*10 шт. NARUMA,25.0,WEIGHT,40,SMALL_PACK_HIGH_COUNT_40x
44ff962a-c785-494e-9705-a9f1a9e6c68a,ИМБИРЬ порционный маринованный белый 25 гр.,25.0,WEIGHT,40,SMALL_PACK_HIGH_COUNT_40x
cc73d2ac-599c-4901-a304-7a1a7b385868,КРУАССАН мини (18% сливочного масла) 25 гр*225шт/кор расстоянный Bridor,25.0,WEIGHT,40,SMALL_PACK_HIGH_COUNT_40x
48de9e5c-275d-4760-8728-df6a5d0d56a9,"МИНИ-КРУАССАН замороженный микс 25 г, BRIDOR, ФРАНЦИЯ",25.0,WEIGHT,40,SMALL_PACK_HIGH_COUNT_40x
1688bc38-a160-4ff8-abed-a4e5d6874191,"МИНИ-ПАН о шоколя замороженный Венуазин 25 г, DELIFRANCE, ФРАНЦИЯ",25.0,WEIGHT,40,SMALL_PACK_HIGH_COUNT_40x
727d6dbb-6492-4107-b7f1-82329314e4a2,"МИНИ-БУЛОЧКА шоколад замороженная 25 г, BRIDOR, ФРАНЦИЯ",25.0,WEIGHT,40,SMALL_PACK_HIGH_COUNT_40x
3c3a8fd3-d1d4-4dee-87d2-97cc88177e2b,"КЕТЧУП томатный 25 мл дип-пот,HEINZ,РОССИЯ (-F-)",25.0,VOLUME,40,SMALL_VOLUME_HIGH_COUNT_40x
44a4309d-8205-4aca-8855-747009b08299,"СОУС барбекю 25 мл дип-пот,HEINZ,РОССИЯ",25.0,VOLUME,40,SMALL_VOLUME_HIGH_COUNT_40x
be702791-c290-4564-a2c3-217319aff203,"СОУС барбекью острый 125 шт х25 г дип-пот, PIKADOR, РОССИЯ",25.0,WEIGHT,40,SMALL_PACK_HIGH_COUNT_40x
c2ea9eab-c8ca-451f-b272-297aaf145203,"СОУС горчичный 25 мл дип-пот, HEINZ, РОССИЯ",25.0,VOLUME,40,SMALL_VOLUME_HIGH_COUNT_40x
fea2cd70-907b-4758-b758-89bb6258d6c5,"СОУС кисло-сладкий 25 мл дип-пот,HEINZ,РОССИЯ",25.0,VOLUME,40,SMALL_VOLUME_HIGH_COUNT_40x
218c8f82-406c-4a18-8305-d754d9d6ce91,"СОУС сырный 25 мл дип-пот, HEINZ, РОССИЯ (-F-)",25.0,VOLUME,40,SMALL_VOLUME_HIGH_COUNT_40x
fc7e6b30-51bc-4aa6-9464-01b448ab99b3,"СОУС сырный Пармеджано 125 шт х25 мл дип-пот, HEINZ, РОССИЯ",25.0,VOLUME,40,SMALL_VOLUME_HIGH_COUNT_40x
634e34b5-85a2-4fd5-8d71-dbe47fdc5f6a,"СОУС сырный с халапеньо 125 шт х25 мл дип-пот, PIKADOR, РОССИЯ",25.0,VOLUME,40,SMALL_VOLUME_HIGH_COUNT_40x
5c66030e-6bb1-4bdd-a40a-b234e4017777,"СОУС Тысяча островов 25 мл дип-пот, HEINZ, РОССИЯ",25.0,VOLUME,40,SMALL_VOLUME_HIGH_COUNT_40x
e4c41854-860d-44e3-a0f4-deba51f40728,"СОУС Цезарь дрессинг 25 мл дип-пот,HEINZ,РОССИЯ",25.0,VOLUME,40,SMALL_VOLUME_HIGH_COUNT_40x
67eb1819-ba67-47e6-96c6-87d22c6a2333,"СОУС чесночный 25 мл дип-пот,HEINZ,РОССИЯ",25.0,VOLUME,40,SMALL_VOLUME_HIGH_COUNT_40x
0cf7723d-df9a-48ac-b111-4dff52d87b53,"Кетчуп ""Хайнц""томатный дип-пот (25 мл) упак. . _ПОМПОНЧИК",25.0,VOLUME,40,SMALL_VOLUME_HIGH_COUNT_40x
e9d73fdb-851f-48ad-8023-29792527ed16,"Соус ""ХАЙНЦ"" Кисло-сладкий дип-пот (25 мл) кор. .Россия_ ПОМПОНЧИК",25.0,VOLUME,40,SMALL_VOLUME_HIGH_COUNT_40x
13653f76-5030-470d-8c58-40370ec4e37f,"Соус ""ХАЙНЦ"" Сырный дип-пот (25 мл) упак. . Россия _ПОМПОНЧИК",25.0,VOLUME,40,SMALL_VOLUME_HIGH_COUNT_40x
280c78a2-7444-480a-bbef-a8c51c6a1f26,"Соус ""ХАЙНЦ"" Сырный ""Parmegiano"" дип-пот (25мл) упак. .",25.0,VOLUME,40,SMALL_VOLUME_HIGH_COUNT_40x
e0935cc7-28c1-4319-b3d9-d67bc640fce0,"Соус ""ХАЙНЦ"" Кисло-сладкий оригинальный дип-пот (25 мл) кор. .",25.0,VOLUME,40,SMALL_VOLUME_HIGH_COUNT_40x
ab78fe7f-5ef7-4ab9-9f2c-60158797854d,"Соус ""ХАЙНЦ"" горчичный оригинальный дип-пот (25 мл) кор. .",25.0,VOLUME,40,SMALL_VOLUME_HIGH_COUNT_40x
df4f5db6-1904-494a-adb8-03d4eb00cf77,"Соус ""ХАЙНЦ"" Горчичный дип-пот (25 мл) кор. . Россия _ПОМПОНЧИК",25.0,VOLUME,40,SMALL_VOLUME_HIGH_COUNT_40x
3f940036-e704-4461-bb80-c4e6273e859c,Мини круассан ГКВ (арт. 19C06) 25г. (160 шт),25.0,WEIGHT,40,SMALL_PACK_HIGH_COUNT_40x
4f690264-5cd9-4208-b1ee-b21db181d00f,Мини круассан ГКВ (арт. 19C06) 25г. (160 шт),25.0,WEIGHT,40,SMALL_PACK_HIGH_COUNT_40x
b665efd4-bc1e-4417-a5d1-1ec187de16ce,Кетчуп порционный дип-пот 25 мл*125 шт/кор. Heinz 76006586,25.0,VOLUME,40,SMALL_VOLUME_HIGH_COUNT_40x
dbcb1a57-770e-4cc8-8ace-ecc3e7dfe3ea,Соус Барбекю порционный дип-пот 25 мл*125 шт/кор. Heinz 76021118,25.0,VOLUME,40,SMALL_VOLUME_HIGH_COUNT_40x
a70fb9dd-e017-439f-82c2-7afa06c505c5,Соус Сырный порционный дип-пот 25 мл*125 шт/кор. Heinz 76021118,25.0,VOLUME,40,SMALL_VOLUME_HIGH_COUNT_40x
30d252b1-b51d-4bc0-84a8-526d81b8a764,БАТОНЧИК Everest 26 гр. Milky Way,26.0,WEIGHT,38,SMALL_PACK_HIGH_COUNT_38x
2279dae4-c44c-4557-986a-3cc5d85a6310,СОУС соевый порционный 30 гр.,30.0,WEIGHT,33,SMALL_PACK_HIGH_COUNT_33x
9918bff3-4328-4595-bbfe-9c5d6a1d8769,СОУС соевый порционный Black 30 гр.,30.0,WEIGHT,33,SMALL_PACK_HIGH_COUNT_33x
9e4cef5c-ef0b-4dbe-8698-53e9210819e3,ИМБИРЬ розовый порционный 30 гр.,30.0,WEIGHT,33,SMALL_PACK_HIGH_COUNT_33x
d9372e48-ef57-43f0-9111-6cc0c97a82f5,УЛИТКА с изюмом 30 гр*260 шт/кор п/ф расстоянный ТМ Bridor Франция,30.0,WEIGHT,33,SMALL_PACK_HIGH_COUNT_33x
8d931a9c-2f33-4e71-b7b4-8171996fd3ab,СОУСНИК 30 мл 1 блок/80 шт. Покровский полимер,30.0,VOLUME,33,SMALL_VOLUME_HIGH_COUNT_33x
f874f7f0-3171-4ac5-aa31-bc55978a3637,МОЧАЛКА губка из стали maxi Т023 30 гр*1 шт. Textop,30.0,WEIGHT,33,SMALL_PACK_HIGH_COUNT_33x
21a9963b-90db-42a3-89e8-1bbeccaa0013,"МИНИ-УЛИТКА с изюмом замороженная 30 г, BRIDOR, ФРАНЦИЯ",30.0,WEIGHT,33,SMALL_PACK_HIGH_COUNT_33x
0c68e2e5-867c-42ea-ad81-78a2372a0528,"Зерна горчицы целые KOTANYI, пакет 30г",30.0,WEIGHT,33,SMALL_PACK_HIGH_COUNT_33x
3e3ebe76-d88d-465d-a8bd-36cb94b9ee35,"Зерна горчицы целые KOTANYI, пакет 30г",30.0,WEIGHT,33,SMALL_PACK_HIGH_COUNT_33x
554f092d-f2c1-4470-8256-54c6412960d2,Круассан (зам) 30 гр*120 шт/кор. Еврохлеб,30.0,WEIGHT,33,SMALL_PACK_HIGH_COUNT_33x
7b43f773-9b66-4130-bb9e-fa023356e133,Имбирь маринованный розовый порционный 30 гр 168 шт/кор Имбирь,30.0,WEIGHT,33,SMALL_PACK_HIGH_COUNT_33x
956756a1-344e-49fe-a17a-93dddc16514b,Соевый соус Премиум порционный 30 гр 168 шт/кор Имбирь,30.0,WEIGHT,33,SMALL_PACK_HIGH_COUNT_33x
71d6258e-ce8c-401c-8458-767c042728cb,"Печенье Orion Choсo Pie Оригинальное 12*30г, НДС 20%",30.0,WEIGHT,33,SMALL_PACK_HIGH_COUNT_33x
