name_raw,name_norm,super_class,brand_id,price
ДЕКОР Пики Завитки (Узелок) бамбук 90 мм 100 шт. Aviora,декор пики завитки узелок бамбук 90 мм 100 шт aviora,other,,175.32
ПИКИ декоративные mini Гольф 15 см 100 шт. Aviora,пики декоративные mini гольф 15 100 шт aviora,other,,107.95
ШАМПУРЫ для шашлыка 3мм*20 см бамбук 100 штук/уп,шампуры для шашлыка 3мм 20 бамбук 100 штук уп,other,,26.32
ЗУБОЧИСТКИ бамбуковые в индивидуальной упаковке п/э 1000 шт. арт.401-488 Aviora,зубочистки бамбуковые индивидуальной упаковке 1000 шт арт 401 488 aviora,disposables.containers,,135.94
КОНТЕЙНЕР ракушка прозрачный (152*152*72 мм) с крышкой КР-15 1 кор/400 шт.,контейнер ракушка прозрачный 152 152 72 мм крышкой кр 15 400 шт,disposables.containers,,6.5
ЛАНЧ-БОКС 1 секция Белый LB-1 (248*204*70мм) РЗУП 1кор/100шт,ланч бокс секция белый lb 248 204 70мм рзуп 1кор 100шт,other,,5.51
ЛАНЧ-БОКС 1 секция белый LBS категория А (195*150*70мм) 100шт/кр,ланч бокс секция белый lbs категория 195 150 70мм 100шт кр,other,,4.53
ЛАНЧ-БОКС 1 секция черный LB-1 (248*204*70мм) РЗУП 1кор/100шт,ланч бокс секция черный lb 248 204 70мм рзуп 1кор 100шт,other,,5.51
"ЛАНЧ-БОКС 1 секция черный LBS ""А"" 1 кор/100 шт.",ланч бокс секция черный lbs 100 шт,other,,4.73
ЛАНЧ-БОКС 1 секция черный LBS категория А (190*150*80мм) 1кор/100шт,ланч бокс секция черный lbs категория 190 150 80мм 1кор 100шт,other,,4.66
ЛАНЧ-БОКС 2 секции Белый LB-1 (248*204*70мм) РЗУП 1кор/100шт,ланч бокс секции белый lb 248 204 70мм рзуп 1кор 100шт,other,,5.51
ЛАНЧ-БОКС 2 секции Черный LB-1 (248*204*70мм) РЗУП 1кор/100шт,ланч бокс секции черный lb 248 204 70мм рзуп 1кор 100шт,other,,5.51
ЛАНЧ-БОКС 3 секции Белый LB-1 (248*204*70мм) РЗУП 1кор/100шт,ланч бокс секции белый lb 248 204 70мм рзуп 1кор 100шт,other,,5.51
ЛАНЧ-БОКС 3 секции Черный LB-1 (248*204*70мм) РЗУП 1кор/100шт,ланч бокс секции черный lb 248 204 70мм рзуп 1кор 100шт,other,,5.47
"РАЗМЕШИВАТЕЛЬ деревянный в индивидуальной бумажной упаковке 178*6*1,3 мм 1 блок/250 шт.",размешиватель деревянный индивидуальной бумажной упаковке 178 мм 250 шт,disposables.containers,,0.77
"ТРУБОЧКА для коктейля прямая 0,8*24 см черная 1 упак/250 шт.",трубочка для коктейля прямая 24 черная 250 шт,disposables.straws,,0.29
ТРУБОЧКА для коктейля чёрная прямая в индивидуальной упаковке 8*240мм 250шт/уп,трубочка для коктейля черная прямая индивидуальной упаковке 240мм 250шт уп,disposables.straws,,0.65
"КРЫШКА для стакана с питейником 80 мм прозрачная, флип-топ 1 кор/1000 шт.",крышка для стакана питейником 80 мм прозрачная флип топ 1000 шт,other,,2.1
"КРЫШКА для стакана с питейником 90 мм прозрачная, флип-топ 1 кор/1000 шт.",крышка для стакана питейником 90 мм прозрачная флип топ 1000 шт,other,,2.26
КРЫШКА для стакана УК-80К-03 черная матовая 1бл/100шт,крышка для стакана ук 80к 03 черная матовая 1бл 100шт,other,,1.39
КРЫШКА для стакана УК-90К черная матовая 1блок/100шт,крышка для стакана ук 90к черная матовая 1блок 100шт,other,,1.54
КРЫШКА купольная с отверстием 1 блок/50 шт. Упакс-Юнити,крышка купольная отверстием 50 шт упакс юнити,other,,2.17
ПАЛОЧКИ для суши бамбук 22.5 см с зубочисткой в индивидуальной п/э упаковке 1 упак/100 шт.,палочки для суши бамбук 22 зубочисткой индивидуальной упаковке 100 шт,disposables.containers,,123.6
САЛФЕТКА влажная синяя Стандарт 60*80мм 1000шт/кр CEA,салфетка влажная синяя стандарт 60 80мм 1000шт кр cea,disposables.napkins,,1.19
