name_raw,name_norm,super_class,brand_id,pack,price
ЧЕСНОК измельченный п/б 860 гр. KOTANYI,чеснок измельченный kotanyi,other,,0.86,1554.74
ЧЕСНОК молотый банка 450 гр. SpicеExpert,чеснок молотый банка spicеexpert,other,,0.45,424.56
ЯГОДА можжевеловая 300 гр. SpicеExpert,ягода можжевеловая spicеexpert,other,,0.3,956.48
МЁД натуральный цветочный 1 кг.,мед натуральный цветочный,other,,1.0,272.5
МЁД натуральный цветочный Разнотравье 1 кг.,мед натуральный цветочный разнотравье,other,,1.0,283.75
ИЗЮМ Голден 1 кг. Суприм,изюм голден суприм,other,,1.0,518.75
КОМПОТНАЯ СМЕСЬ в/с 10 кг. Суприм,компотная смесь суприм,other,,10.0,1562.5
ЧЕРНОСЛИВ без косточки 1 кг. Суприм,чернослив без косточки суприм,other,,1.0,618.75
МИНДАЛЬ лепестки 1 кг. Суприм,миндаль лепестки суприм,other,,1.0,1437.5
МИНДАЛЬ целый сушеный 1 кг. Суприм,миндаль целый сушеный суприм,other,,1.0,1200.0
ОРЕХ грецкий 1/4 1 кг. Суприм,орех грецкий суприм,other,,2.5,825.0
ОРЕХ грецкий бабочка 1 кг. Суприм,орех грецкий бабочка суприм,other,,1.0,931.25
ОРЕХ кедровый очищенный 500 гр. Суприм,орех кедровый очищенный суприм,other,,0.5,1750.0
СЕМЯ кунжутное белое жареное 1кг. Суприм,семя кунжутное белое жареное суприм,other,,1.0,456.0
СЕМЯ кунжутное черное жареное 1кг. Суприм,семя кунжутное черное жареное суприм,other,,1.0,648.0
ВЕРМИШЕЛЬ из батата 500 гр. Мидори,вермишель из батата мидори,other,,0.5,228.78
ВЕРМИШЕЛЬ крахмальная Фунчоза Китай 500 гр. KEKESHI,вермишель крахмальная фунчоза китай kekeshi,other,,0.5,195.57
ВЕРМИШЕЛЬ крахмальная Фунчоза резаная 500 гр. KEKESHI,вермишель крахмальная фунчоза резаная kekeshi,other,,0.5,184.5
ВЕРМИШЕЛЬ фунчоза 460 гр. Yumart,вермишель фунчоза yumart,other,,0.46,103.32
ГНЕЗДА Тальятелле 250 гр. AIDA,гнезда тальятелле aida,other,,0.25,97.66
ЛАПША Рамен яичная в брикетах 1 кг. KEKESHI,лапша рамен яичная брикетах kekeshi,other,,1.0,432.74
ЛАПША Соба 300 гр. Китай,лапша соба китай,other,,0.3,62.73
ЛАПША Удон 300 гр. KANESHIRO DARUMA,лапша удон kaneshiro daruma,other,,0.3,47.97
ЛАПША Удон 300 гр. KEKESHI,лапша удон kekeshi,other,,0.3,67.5
ЛАПША Удон 300 гр. ToDoFood,лапша удон todofood,other,,0.3,50.0
ЛАПША фунчоза 500 гр. Tamaki,лапша фунчоза tamaki,other,,0.5,233.7
ЛАПША яичная 300 гр. KEKESHI,лапша яичная kekeshi,other,,0.3,83.64
ЛАПША яичная 400 гр. Мидори,лапша яичная мидори,other,,0.4,184.5
ЛАПША яичная 500 гр.,лапша яичная,other,,0.5,113.16
ЛАПША яичная длинная №120 400 гр. Америа,лапша яичная длинная 120 америа,other,,0.26,60.06
ПЕРЬЯ рифленые №023 3 кг. Federici,перья рифленые 023 federici,other,,13.0,407.01
РОЖКИ рифленые № 56 500 гр. Federici,рожки рифленые 56 federici,other,,0.278,80.81
РОЖКИ рифленые №56 группа В 4 кг. Америа,рожки рифленые 56 группа америа,other,,4.0,345.94
СПИРАЛЬКИ №42 3 кг. Federici,спиральки 42 federici,other,,22.5,407.01
СПИРАЛЬКИ №42 группа В 2 кг. Америа,спиральки 42 группа америа,other,,2.0,183.78
АДРЕНАЛИН Раш 0.25 л. ж/б,адреналин раш,other,,0.25,65.5
АДРЕНАЛИН раш 0.33 л. ж/б,адреналин раш,other,,0.33,99.4
АДРЕНАЛИН раш 0.449 л. ж/б,адреналин раш,other,,0.449,112.1
