reference_name,ref_super_class,status,selected_name,selected_super_class,price,match_percent,candidates_after_super_class_guards,rejected_by_forbidden,rejected_by_anchor,is_bad_match,bad_match_reason
"СЫР Креметте Professional творожный 65% 10 кг,CREMETTE PROFESSIONAL,РОССИЯ (-FP-)",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,43,402,0,0,True,сыр→сырники
"СЫР творожный сливочный 69% 1,5 кг, SABAH, ИРАН",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,86,402,0,0,True,сыр→сырники
"СЫР Камамбер с белой плесенью в панировке 50% 1 кг, ALTI, РОССИЯ",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,43,402,0,0,True,сыр→сырники
"Говядина вырезка п/ф крупнокусковой б/к зам. ~2,000 кг Агроальянс",meat.beef,ok,РАСТИТЕЛЬНЫЕ СТРИПСЫ вместо говядины 150 гр. GREENWISE,meat.beef,88.8,100,13,0,0,True,говядина→растительные
"Говядина тазобедренный отруб (ОКОВАЛОК) б/к зам ~6,500 кг Восход",meat.beef,ok,РАСТИТЕЛЬНЫЕ СТРИПСЫ вместо говядины 150 гр. GREENWISE,meat.beef,88.8,100,13,0,0,True,говядина→растительные
"Сыр Маскарпоне мягкий тм Bonfesto 78% (0,500 кг) Беларусь",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,79,402,0,0,True,сыр→сырники
"Сыр Диаболо-Гурме ""ЛеСуперб"" (0,180 кг) упак. .",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,89,402,0,0,True,сыр→сырники
"Сыр Моцарелла Мини Гальбани 45% (0,150 кг) упак. .",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,82,402,0,0,True,сыр→сырники
"Сыр творожный из козьего молока Chevre President 65% 0,140кг",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,89,402,0,0,True,сыр→сырники
"Сыр Хохланд плавленый ломтевой Бистро Чеддар (1,107 кг - 90 ломтиков) упак. . ШТУКИ",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,92,402,0,0,True,сыр→сырники
Сыр для пиццы Моцарелла Gourmet Alti 40% полутвердый ШТУКА 2кг 211405ф,dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,75,402,0,0,True,сыр→сырники
"Сыр Моцарелла Ностра тертый кубик зам (1,000кг)",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,82,402,0,0,True,сыр→сырники
Сыр Пармезан выдержка 3 мес Melincue (Remotti) (~ 7.000 кг) Аргентина,dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,89,402,0,0,True,сыр→сырники
"Сыр Чеддер красный ""Cheddar Red"" брус ( ~4,000 кг) упак Поставский Беларусь",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,73,402,0,0,True,сыр→сырники
"Сыр полутвердый с плесенью ""Горгонзола"" ТМ ""ЖАН"" (0,100 кг) упак. .",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,77,402,0,0,True,сыр→сырники
"Сырники твор. жар. зам. в/у (1,000 кг- *50г) упак. Про Вкус ОТГРУЗКА КОРОБАМИ",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,52,402,0,0,True,сыр→сырники
Лапша быстрого приготовления Доширак (говядина) 90г,meat.beef,ok,РАСТИТЕЛЬНЫЕ СТРИПСЫ вместо говядины 150 гр. GREENWISE,meat.beef,88.8,100,13,0,0,True,говядина→растительные
"Говядина ФЛАНК стейк,  c/м ~1кг",meat.beef,ok,РАСТИТЕЛЬНЫЕ СТРИПСЫ вместо говядины 150 гр. GREENWISE,meat.beef,88.8,100,13,0,0,True,говядина→растительные
"Сыр ""Гауда"" ""Ферма Босконе"" 50% ~5 кг",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,88,402,0,0,True,сыр→сырники
"Сыр с голубой плесенью ""BERGER""  ~2,7 кг",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,92,402,0,0,True,сыр→сырники
"Говядина щека, с/м (ок. 3кг), Весовой ВетИС",meat.beef,ok,РАСТИТЕЛЬНЫЕ СТРИПСЫ вместо говядины 150 гр. GREENWISE,meat.beef,88.8,100,13,0,0,True,говядина→растительные
Сырники творожные классические 70г ВетИС (50 шт),dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,36,402,0,0,True,сыр→сырники
"Говядина щека, с/м (ок. 3кг), Весовой ВетИС",meat.beef,ok,РАСТИТЕЛЬНЫЕ СТРИПСЫ вместо говядины 150 гр. GREENWISE,meat.beef,88.8,100,13,0,0,True,говядина→растительные
Сырники творожные классические 70г ВетИС (50 шт),dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,36,402,0,0,True,сыр→сырники
Говядина грудинка Для Запекания из мрам. гов. (Plate Meat) б/к с/м в/у 3-5 кг ~20 кг/кор. Праймбиф,meat.beef,ok,РАСТИТЕЛЬНЫЕ СТРИПСЫ вместо говядины 150 гр. GREENWISE,meat.beef,88.8,100,13,0,0,True,говядина→растительные
Говядина лопатка б/к с/м в/у ~9 кг ~20 кг/кор. ГОСТ 31797-2012 МГК,meat.beef,ok,РАСТИТЕЛЬНЫЕ СТРИПСЫ вместо говядины 150 гр. GREENWISE,meat.beef,88.8,100,13,0,0,True,говядина→растительные
"Говядина Рибай (толстый филей, фермерский бычок) б/к с/м в/у ~5 кг ~20 кг/кор. Мираторг",meat.beef,ok,РАСТИТЕЛЬНЫЕ СТРИПСЫ вместо говядины 150 гр. GREENWISE,meat.beef,88.8,100,13,0,0,True,говядина→растительные
Сыр Гауда 45% брус ~5 кг Навруз,dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,91,402,0,0,True,сыр→сырники
Сыр Моцарелла в рассоле (шар) 45% 125 гр (6) Гальбани,dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,81,402,0,0,True,сыр→сырники
"Сыр с голубой плесенью 55% ~2,5 кг ММЗ№1 РБ",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,92,402,0,0,True,сыр→сырники
"Сыр твердый Пармезан 48% 12 мес ~1,5 кг Парменте (5023)",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,93,402,0,0,True,сыр→сырники
Сыр Фетакса б/рассола 45% 200 гр (8) Hochland - спец,dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,90,402,0,0,True,сыр→сырники
Сырный продукт полутвердый Гауда 50% ~4 кг Ферма Босконе (Молочные горки),dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,34,402,0,0,True,сыр→сырники
Сырники обжаренные 7 кг/кор. Mr.Food,dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,40,402,0,0,True,сыр→сырники
Сыр Oldenburger Пармезан Гойя 40% 3кг,dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,92,402,0,0,True,сыр→сырники
"Сыр Творожный Profi Cheese 70% 2,2кг Ведро",dairy.сыр,ok,"СЫРНИКИ 200 шт х 50 г, COOK_ME, РОССИЯ",dairy.сыр,22.5,73,402,0,0,True,сыр→сырники
